"Sp","Betacov","R.Alb","Rank","PropRank","InSample"
"Camelus dromedarius",1,NA,59.25,0.102242157172384,1
"Equus caballus",1,NA,71.25,0.105188644403082,1
"Canis lupus",1,0.220924690181125,226.2,0.105606265699432,1
"Mus musculus",1,0.15467111534795,189.8,0.119485117803116,1
"Lutra lutra",0,0.150142993326978,630,0.150142993326978,0
"Ursus thibetanus",0,0.151334604385129,635,0.151334604385129,0
"Martes flavigula",0,0.15300285986654,642,0.15300285986654,0
"Myodes glareolus",1,0.338298379408961,338.5,0.159594246690122,1
"Bos taurus",1,NA,102.375,0.162053887331939,1
"Sus scrofa",1,0.149070543374643,217.5,0.16373686557778,1
"Ovis aries",0,NA,103.25,0.166615110761075,1
"Vulpes vulpes",0,0.153360343183985,203.6,0.166783657271643,1
"Rattus norvegicus",1,0.196258341277407,227.6,0.1670945815399,1
"Felis chaus",0,0.170877025738799,717,0.170877025738799,0
"Capra hircus",0,NA,105.375,0.178284852458492,1
"Viverra zibetha",0,0.178741658722593,750,0.178741658722593,0
"Paradoxurus hermaphroditus",0,0.181124880838894,760,0.181124880838894,0
"Bubalus bubalis",1,NA,94.75,0.182351196306422,1
"Micromys minutus",0,0.182793136320305,767,0.182793136320305,0
"Cuon alpinus",0,0.184938036224976,776,0.184938036224976,0
"Apodemus agrarius",1,0.205552907530982,244.8,0.185292562406643,1
"Viverricula indica",0,0.187559580552908,787,0.187559580552908,0
"Procyon lotor",0,0.461987607244995,437.7,0.187806963625761,1
"Suncus etruscus",0,0.191968541468065,805.5,0.191968541468065,0
"Herpestes urva",0,0.192445185891325,807.5,0.192445185891325,0
"Aonyx cinerea",0,0.192921830314585,809.5,0.192921830314585,0
"Rattus nitidus",0,0.193755958055291,813,0.193755958055291,0
"Mustela kathiah",0,0.194232602478551,815,0.194232602478551,0
"Niviventer fulvescens",0,0.197569113441373,829,0.197569113441373,0
"Prionodon pardicolor",0,0.198164918970448,831.5,0.198164918970448,0
"Berylmys bowersi",0,0.198641563393708,833.5,0.198641563393708,0
"Rattus rattus",0,0.101763584366063,177.8,0.199829640863935,1
"Rattus andamanensis",0,0.199833174451859,838.5,0.199833174451859,0
"Neofelis nebulosa",0,0.202097235462345,848,0.202097235462345,0
"Capricornis milneedwardsii",0,0.203050524308866,852,0.203050524308866,0
"Helarctos malayanus",0,0.204957102001907,860,0.204957102001907,0
"Arctictis binturong",0,0.206982840800763,868.5,0.206982840800763,0
"Mus pahari",0,0.208293612964728,874,0.208293612964728,0
"Equus asinus",0,NA,105.75,0.209631483193798,1
"Manis pentadactyla",0,0.211034318398475,885.5,0.211034318398475,0
"Naemorhedus griseus",0,0.212583412774071,892,0.212583412774071,0
"Arctogalidia trivirgata",0,0.212940896091516,893.5,0.212940896091516,0
"Lutrogale perspicillata",0,0.212940896091516,893.5,0.212940896091516,0
"Rangifer tarandus",0,0.454480457578646,453.2,0.217009759044604,1
"Mus caroli",0,0.217588179218303,913,0.217588179218303,0
"Mustela sibirica",0,0.218660629170639,917.5,0.218660629170639,0
"Pardofelis marmorata",0,0.22128217349857,928.5,0.22128217349857,0
"Crocuta crocuta",0,0.281935176358437,317.6,0.222427027709996,1
"Melogale personata",0,0.224022878932316,940,0.224022878932316,0
"Leopoldamys edwardsi",0,0.225929456625357,948,0.225929456625357,0
